"BRANCH_COLOURS","INDIVIDUAL","SUBGRAPH_MRCA"
"KC","KC","TRUE"
"KC","KC","TRUE"
"KC","KC","TRUE"
"KC","KC","TRUE"
"KC","KC","TRUE"
"KC","KC","TRUE"
"KC","KC","TRUE"
"KC","KC","TRUE"
"KC","KC","TRUE"
"KC","KC","TRUE"
"Asia","Asia","FALSE"
"Ocean","Ocean","TRUE"
"Europe","Europe","TRUE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Europe","Europe","TRUE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Ocean","Ocean","TRUE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Neighb","Neighb","TRUE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"US","US","TRUE"
"SSA","SSA","TRUE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Europe","Europe","TRUE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"US","US","TRUE"
"SSA","SSA","TRUE"
"SSA","SSA","TRUE"
"Unknown","Unknown","TRUE"
"SSA","SSA","TRUE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Unknown","Asia","TRUE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Unknown",NA,"FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Unknown",NA,"FALSE"
"Asia","Asia","FALSE"
"Asia","Asia","FALSE"
"Unknown",NA,"FALSE"
